Id,Name,registryKeyPath,registrySubPath
AcceptPowerpointDesignerPrivacy,Accept PowerPoint Designer privacy,Software/Microsoft/Office/16.0/PowerPoint/Options/SuggestionsPrivacyDialogLastShow,
AllowVisualBasicToBindToSystem,Allow Use of system() from Visual Basic,NA,NA
AlternateRuntimeLocaleIdentifierInExcel,East Asian Language selection for Excel,NA,NA
AlternateRuntimeLocaleIdentifierInPPT,East Asian Language selection for PowerPoint,NA,NA
AlternateRuntimeLocaleIdentifierInWord,East Asian Language selection for Word,NA,NA
AlwaysStartPresenterViewWith2Displays,Always start Presenter View with 2 displays,Software/Microsoft/Office/16.0/PowerPoint/Options/Show Use Presenter Tools,
AlwaysSuggestCorrections,Always suggest corrections,Software/Microsoft/Office/16.0/PowerPoint/Options/Suggest Always,
AlwaysUseTheseSettings,Always use these settings,Software/Microsoft/Office/Common/UserInfo/UseLocal,
AutofitBodyTextToPlaceholder,Autofit body text to placeholder,Software/Microsoft/Office/16.0/PowerPoint/Options/AutoFit,
AutofitTitleTextToPlaceholder,Autofit title text to placeholder,Software/Microsoft/Office/16.0/PowerPoint/Options/AutoFormat Autofit Title,
AutomaticallyDownloadExternalContent,Download embedded images,NA,NA
AutomaticallySelectEntireWordWhileSelectingText,Automatically select entire word while selecting text,Software/Microsoft/Office/16.0/PowerPoint/Options/WordSelection,
AutomaticallyShowMeDesignIdeas,Automatically show me design ideas,Software/Microsoft/Office/16.0/PowerPoint/Options/EnableSuggestionAutoPrompt,
AutomaticBulletedAndNumberedLists,Automatic bulleted and numbered lists,Software/Microsoft/Office/16.0/PowerPoint/Options/AutoFormat Bullets,
CapitalizeFirstLetterOfSentences,Capitalize first letter of sentences,Software/Microsoft/Office/16.0/Common/AutoCorrect/CapitalizeSentence,
CapitalizeNamesOfDays,Capitalize names of days,Software/Microsoft/Office/16.0/Common/AutoCorrect/CapitalizeNamesOfDays,
CheckSpellingAsYouType,Check spelling as you type,Software/Microsoft/Office/16.0/PowerPoint/Options/Background spell checking,
CorrectTwoInitialCapitals,Correct TWo INitial CApitals,Software/Microsoft/Office/16.0/Common/AutoCorrect/CorrectTwoInitialCapitals,
CustomActionsSecurity,Custom Actions Security,Software/Microsoft/Office/16.0/PowerPoint/Security/RunPrograms,
CustomerLoggingEnabled,Enable application diagnostic logging,NA,NA
DefaultsToLocalOpenSave,Show local folder locations by default,NA,NA
DefaultViewForNewPresentations,Default view for new presentations,Software/Microsoft/Office/16.0/PowerPoint/Options/DefaultView,
DefaultWeatherLocation,Default weather location,NA,NA
DesiredPrintQuality,Desired Print Quality,Software/Microsoft/Office/16.0/PowerPoint/Options/PDF quality settings,
DisableCloudFonts,Disable Cloud Fonts,NA,NA
DisableExport,Disable export to OLM files,NA,NA
DisableImport,Disable import from OLM and PST files,NA,NA
